Id;Default
11039;SMC_CIRCULAR_MOVEMENT_TRACKING_CS
11040;SMC_CIRCULAR_MOVEMENT_ABORTING_TRACKING_CS
11041;SMC_AXIS_GROUP_CONTINUE_POSITION_WRONG_CHECKSUM
11042;SMC_CIRCULAR_TRACKING_TOOL_CHANGE_NOT_SUPPORTED
11043;SMC_AXIS_GROUP_COULD_NOT_WRITE_CONTINUE_DATA
11044;SMC_MODULO_AXIS_FOR_NON_ROTARY_JOINT
11045;SMC_MODULO_AXIS_FOR_LIMITED_ROTARY_JOINT
11046;SMC_MODULO_AXIS_PERIOD_NOT_360
11047;SMC_FB_WASNT_CALLED_DURING_EXECUTION
11048;SMC_NO_EVALUATION_POSSIBLE_FOR_TIME_OFFSET
11049;SMC_INVALID_SOURCE_TYPE_FOR_TIME_OFFSET
11050;SMC_INVALID_TIME_OFFSET
11051;SMC_TIME_OFFSET_TOO_LARGE
11100;SMC_KERNEL_PTP_INTERNAL_ERROR
11101;SMC_KERNEL_PTP_INVALID_TASKCYCLETIME
12000;SMC_TRAFO_INVALID_PARAMETERS
12001;SMC_TRAFO_INVALID_CONSTELLATION
12002;SMC_TRAFO_INVALID_COUPLING
12003;SMC_TRAFO_NOT_INITIALIZED
12004;SMC_TRAFO_NO_TOOL_WITH_OFFSET_ALLOWED
12005;SMC_AXIS_GROUP_TOOL_OFFSET_INCOMPATIBLE_WITH_KINEMATICS
12006;SMC_TRAFO_INVALID_AXIS_LIMITS
12007;SMC_AXIS_GROUP_PATH_DEVIATION_TOO_HIGH
12008;SMC_AXIS_POSITION_EXCEEDS_POSLIMITS
12009;SMC_AXIS_GROUP_NO_DYNAMIC_MODEL_CONFIGURED
12010;SMC_DYNAMICS_NUM_TORQUES_NEQ_NUM_AXES
12020;SMC_AXIS_GROUP_MAX_AXIS_LAG_EXCEEDED
12021;SMC_AXIS_GROUP_MAX_POSITION_LAG_EXCEEDED
12022;SMC_AXIS_GROUP_MAX_ORIENTATION_LAG_EXCEEDED
12100;SMC_CP_CACHE_FULL
12101;SMC_CP_EVAL_ERROR
12102;SMC_CP_NON_CONTINUABLE_STATE
12103;SMC_CP_MAX_LENGTH_EXCEEDED
12104;SMC_CP_ACCELERATION_TOO_HIGH
12105;SMC_CP_MAX_ITERATIONS_EXCEEDED
12106;SMC_CP_NO_TRAJECTORY
12107;SMC_CP_OUT_QUEUE_FULL
12108;SMC_CP_QUEUE_UNDERRUN
12109;SMC_CP_INVALID_QUEUE
12110;SMC_CP_BLENDING_INTERNAL_ERROR
12111;SMC_CP_CIRCLE_COLLINEAR_POINTS
12112;SMC_CP_CIRCLE_CENTER_NOT_ON_BISECTOR
12113;SMC_CP_CIRCLE_RADIUS_ZERO
12114;SMC_CP_CIRCLE_DISTANCE_LARGER_THAN_DIAMETER
12115;SMC_CP_CIRCLE_START_AND_ENDPOINT_EQUAL
12116;SMC_CP_BLENDING_DEGENERATE_SPLINE
12117;SMC_CP_ELEMENT_TOO_SHORT
12118;SMC_CP_COULD_NOT_CUT_PATH
12119;SMC_CP_INVALID_ANGULAR_VEL_ACC
12120;SMC_CP_INVALID_ORIENTATION
12121;SMC_CP_TIME_BUDGET_EXCEEDED
12122;SMC_AXIS_GROUP_AXIS_LIMIT_VIOLATED
12125;SMC_CP_CONFIGS_DIFFER
12126;SMC_CP_BUS_TASK_NOT_CALLED
12127;SMC_CP_NO_ROOT_IN_INTERVAL_FOUND
